university name,YEAR_entry,yearSurvey ,City-ORIGIN,gEnder,Program level,FiEld,livingArrangement,part-time_job,ScholarShip,AGE ,gpa,SleepHours,Study hour(s),screenTime,exercise_hours,stressLevel
Technical University of Munich,2022.0,2022.0,Cologne,F3mal3,MSc,Business,Shared Apartment,No,No,24.6,3.02,6.3,"""3.0""",6.4,2.3,High
Technical University of Munich,2021.0,2022.0,Berlin,Female,BSc,Humanities,Dorm,Yes,No,21.9,3.01,9.5,"""2.5""",6.0,0.0,Moderate
Technical University Of Munich,2022.0,,Dresden,Female,BSc,STEM,Alone,Yes,No,21.5,2.93,5.8,"""3.3""",5.3,0.3,High
Technical University of Munich,2021.0,2021.0,Dresden,Male,BSc,stem,Family Home,Yes,No,20.5,2.89,7.7,"""3.6""",6.2,0.8,Moderate
Technical University of Munich ,2019.0,2020.0,Munich,Female,BSc,SocialSci,Shared Apartment,yes,Yes,19.5,3.15,7.4,"""2.6""",6.9,3.5,Moderate
Technical University of Munich,2022.0,2022.0,Munich,Male,BSC,STEM,Shared Apartment,No,No,22.8,3.03,7.3,"""3.5""",6.2,,Moderate
Technical University of Munich,2022.0,2022.0,Bremen,Female,BSc,Human1t1es,Alone,No,No,21.4,3.02,7.6,"""1.5""",3.8,5.2,Low
Technical University of Munich,2022.0,2022.0,Berlin,Male,BSc,SocialSci,Alone,No,No,19.0,3.05,5.5,"""5.0""",6.5,0.1,High
Technical University of Munich,2019.0,2020.0,Frankfurt,Female,BSc,HEALTH,Shared Apartment,No,YES,20.5,2.35,4.7,"""2.4""",,0.5,High
Technical University of Munich ,2021.0,2022.0,Frankfurt,Male,BSc,STEM,Shared Apartment,Yes,No,17.7,2.95,8.0,"""3.6""",4.5,0.0,High
TECHNICAL UNIVERSITY OF MUNICH,2020.0,2020.0,Düsseldorf,Non-binary,MSc,Business,Shared Apartment,No,No,23.0,2.97,5.6,"""3.5""",6.3,4.8,High
Technical University of Munich,2022.0,2022.0,Hamburg,Female,MSc,SocialSci,Family Home,No,No,27.2,3.23,7.5,"""5.4""",5.5,3.6,Moderate
Technical University of Munich,2021.0,2021.0,Düsseldorf,Male,BSc,STEM,shared apartment,No,No,19.8,2.45,6.6,"""3.9""",7.6,2.8,High
Technical University of Munich,2022.0,2022.0,Cologne,Female,BSc,Business,Dorm,Yes,Yes,23.7,3.18,7.2,"""8.2""",3.7,2.6,Moderate
